------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
Name                                  Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  Input Shapes                                   
------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
embedding                             0.01%            63.193us         0.08%            549.496us        549.496us        0.04%            547.840us        547.840us        1                []                                             
size                                  0.00%            3.774us          0.00%            3.774us          3.774us          0.00%            3.072us          3.072us          1                []                                             
embedding                             0.00%            31.358us         0.07%            482.529us        482.529us        0.03%            487.424us        487.424us        1                []                                             
reshape                               0.00%            9.673us          0.00%            14.590us         14.590us         0.00%            14.336us         14.336us         1                []                                             
view                                  0.00%            4.917us          0.00%            4.917us          4.917us          0.00%            4.096us          4.096us          1                []                                             
index_select                          0.06%            430.720us        0.06%            430.720us        430.720us        0.03%            447.488us        447.488us        1                []                                             
view                                  0.00%            5.861us          0.00%            5.861us          5.861us          0.00%            2.048us          2.048us          1                []                                             
to                                    0.00%            4.376us          0.00%            4.376us          4.376us          0.00%            4.128us          4.128us          1                []                                             
t                                     0.00%            36.067us         0.01%            52.708us         52.708us         0.00%            51.200us         51.200us         1                []                                             
transpose                             0.00%            11.791us         0.00%            16.641us         16.641us         0.00%            16.416us         16.416us         1                []                                             
as_strided                            0.00%            4.850us          0.00%            4.850us          4.850us          0.00%            5.120us          5.120us          1                []                                             
matmul                                0.01%            46.096us         0.13%            956.140us        956.140us        0.07%            955.392us        955.392us        1                []                                             
contiguous                            0.00%            4.185us          0.00%            4.185us          4.185us          0.00%            4.096us          4.096us          1                []                                             
view                                  0.00%            28.689us         0.00%            28.689us         28.689us         0.00%            28.672us         28.672us         1                []                                             
mm                                    0.08%            612.526us        0.12%            848.330us        848.330us        0.06%            863.232us        863.232us        1                []                                             
size                                  0.00%            3.066us          0.00%            3.066us          3.066us          0.00%            3.072us          3.072us          1                []                                             
